FID,Name,LH_MED,LH_1693,LH_1753,LH_1831,REACH_1831,LH_1851,REACH_1851,LH_1911,REACH_1911,Height,YearBuilt,POINT_X,POINT_Y
70,PlymouthMillBay,0,0,0,0,0,0,0,1,0,0,1880,246740.75,53986.11
71,MountWise,0,0,0,0,0,0,0,1,0,0,0,246080.70,53321.80
72,MuttonCove,0,0,0,0,0,0,0,1,0,0,1891,244786.77,56038.71
73,CremillShoal,0,0,0,0,0,0,0,1,0,0,1902,245540.62,53217.16
74,StartPoint,0,0,0,0,0,1,19,1,20,0,1836,282860.94,37183.45
75,Kingswear,0,0,0,0,0,0,0,1,11,0,1864,288335.56,50898.15
76,DartmouthHarbourRailway,0,0,0,0,0,0,0,1,0,0,0,288046.62,51113.80
77,CoastguardStation,0,0,0,0,0,0,0,1,0,0,1900,287830.33,51388.65
78,BerryHead,0,0,0,0,0,0,0,1,20,0,1906,294572.42,56640.60
79,Brixham,0,0,0,0,0,1,16,2,5,0,1839,292509.03,57331.97
80,Torquay,0,0,0,0,0,0,0,3,5,0,1852,291795.37,63117.78
81,Babbacombe,0,0,0,0,0,0,0,1,0,0,0,292978.75,65580.89
82,Teignmouth,0,0,0,0,0,1,9,1,6,0,1845,293780.36,72436.57
83,Dawlish,0,0,0,0,0,0,0,1,1,0,1881,296335.44,76598.10
84,Exmouth,0,0,0,0,0,0,0,2,8,0,1883,299289.04,80703.27
85,Sidmouth,0,0,0,0,0,0,0,1,8,0,0,312815.72,87344.54
86,Beer,0,0,0,0,0,0,0,1,0,0,1892,323196.80,89188.03
87,LymeRegis,0,0,0,0,0,0,0,2,4,0,1853,334326.67,92202.79
88,Bridport,0,0,0,0,0,0,0,2,0,0,1890,346124.17,90071.65
89,PortlandSouthShipChannel,0,0,0,0,0,0,0,2,2,0,1907,370230.86,74572.75
90,PortlandOuterBreakWater,0,0,0,0,0,1,6,1,0,0,1851,370710.28,76277.92
91,PortlandNorthEasternBreakWater,0,0,0,0,0,0,0,2,14,0,1905,369489.73,77336.17
92,PortlandNorthernArm,0,0,0,0,0,0,0,1,7,0,1905,369372.01,77551.78
93,PortlandCamber,1,0,0,0,0,0,0,1,0,0,1892,369681.71,74278.68
94,PortlandTorpedoPierWestSideHarbour,0,0,0,0,0,0,0,1,0,0,1892,367305.21,75635.33
95,Shambles_LV,0,0,0,0,0,0,0,1,11,0,1859,372787.32,67291.76
96,Weymouth,0,0,0,0,0,1,5,0,0,0,0,368768.08,79031.94
97,WeymouthNorthPier,0,0,0,0,0,0,0,1,0,0,1867,368410.63,79088.90
98,WeymouthBeach,0,0,0,0,0,0,0,2,0,0,1896,367989.52,79552.23
99,AlderneyHigh,0,0,0,0,0,0,0,1,9,0,1859,388165.69,-18935.14
100,AlderneyLow,0,0,0,0,0,0,0,1,0,0,1859,388181.94,-18885.59
101,PlatteFougere,0,0,0,0,0,0,0,1,12,0,1910,364881.36,-42739.16
102,StPeterPortNewHarbour,0,0,0,0,0,0,0,1,10,0,1867,361644.66,-49112.07
103,WhiteRockPier,0,0,0,0,0,1,11,2,4,0,1832,361845.66,-49146.94
104,OldHarbour,0,0,0,0,0,0,0,2,7,0,1832,361325.48,-49250.56
105,Belvedere,0,0,0,0,0,0,0,1,12,0,1888,362018.47,-49286.88
106,Hanois,0,0,0,0,0,1,0,1,16,0,1851,349080.89,-51405.22
107,StCatherineBay,0,0,0,0,0,0,0,1,11,0,1857,399229.97,-75301.21
108,MtOrgueilGorey,0,0,0,0,0,0,0,1,10,0,1898,398620.56,-77882.56
109,GoreyHill,0,0,0,0,0,0,0,1,8,0,1883,398375.73,-78123.70
110,LaGreveDazette,0,0,0,0,0,0,0,1,14,0,1896,393419.78,-80772.28
111,StClements,0,0,0,0,0,0,0,1,14,0,1896,395496.14,-81456.44
112,DemieDePas,0,0,0,0,0,0,0,1,6,0,1904,392525.99,-83329.47
113,StHellierSouthPier,0,0,0,0,0,1,2,0,0,0,1867,391662.25,-80418.53
114,StHellierAlbertPier,0,0,0,0,0,2,2,1,0,0,1839,391668.44,-80325.28
115,JerseyEsplanade,0,0,0,0,0,0,0,1,5,0,1858,391478.77,-79224.62
116,Hermitage,0,0,0,0,0,0,0,1,5,0,1892,390729.49,-80460.73
117,StAubinHarbour,0,0,0,0,0,0,0,1,0,0,0,387843.30,-79235.15
118,CorbiereRock,0,0,0,0,0,0,0,1,17,0,1874,381764.03,-79977.56
119,AnvilPoint,0,0,0,0,0,0,0,1,18,0,1881,402834.80,76976.84
120,SwanagePier,0,0,0,0,0,0,0,2,3,0,1896,403592.07,78907.94
121,Poole,0,0,0,0,0,2,6,3,6,0,1848,403717.23,87085.31
122,Bournmouth,0,0,0,0,0,0,0,1,0,0,1901,408860.21,90531.12
123,Boscombe,0,0,0,0,0,0,0,1,0,0,1905,411091.10,91038.17
124,Needles,0,0,0,3,28,1,27,1,14,469,1786,428848.45,84875.71
125,AlumBay,0,0,0,0,0,0,0,1,0,0,1888,430409.29,85645.16
126,TotlandBay,0,0,0,0,0,0,0,1,0,0,0,432079.02,87241.83
127,Hurst,0,0,0,2,12,2,12,2,14,92,1786,431746.32,89972.39
128,SouthYarmouthOuter,0,0,0,0,0,0,0,1,0,0,1857,435331.85,90056.28
129,SouthYarmouthInner,0,0,0,0,0,0,0,1,0,0,1857,435271.24,89893.20
130,SouthYarmouthPier,0,0,0,0,0,0,0,1,0,0,1876,435269.36,89890.18
131,LymingtonPier,0,0,0,0,0,0,0,1,0,0,0,433235.27,95388.57
132,LymingtonTown,0,0,0,0,0,0,0,1,0,0,0,432727.72,95737.73
133,EgyptPoint,0,0,0,0,0,0,0,1,10,0,1897,448423.07,96675.22
134,SouthamptonCalshotSpit_LV,0,0,0,0,0,1,9,1,0,0,1842,449501.85,101077.79
135,SouthamptonCalshot_LV,0,0,0,0,0,0,0,1,10,0,1842,452260.57,101569.56
136,SouthamptonDolphin,0,0,0,0,0,0,0,1,0,0,1899,447811.54,104681.18
137,SouthamptonSwDolphin,0,0,0,0,0,0,0,1,0,0,1899,447283.57,103763.64
138,SouthamptonNeDolphin,0,0,0,0,0,0,0,1,0,0,1899,448290.77,105233.49
139,SouthamptonStructure,0,0,0,0,0,0,0,1,0,0,1899,446699.26,103341.48
140,SouthamptonFawley,0,0,0,0,0,0,0,1,0,0,1896,447333.12,103495.10
141,SouthamptonBadnamCreek,0,0,0,0,0,0,0,1,0,0,1908,448404.04,108341.34
142,SouthamptonNetley,0,0,0,0,0,0,0,1,0,0,1877,445151.27,108584.94
143,SouthamptonHythe,0,0,0,0,0,0,0,1,0,0,1880,442671.79,108583.78
144,SouthamptonRoyalPier,0,0,0,0,0,2,0,2,0,0,1841,441576.75,110828.19
145,SouthamptonTown,0,0,0,0,0,0,0,1,0,0,1880,441810.46,110574.63
146,SouthamptonEmpressDock,0,0,0,0,0,0,0,2,0,0,1891,442708.73,110140.97
147,SouthamptonOpenDock,0,0,0,0,0,0,0,2,0,0,0,442104.88,110335.31
148,MarchwoodPier,0,0,0,0,0,0,0,1,0,0,0,440851.32,110769.86
149,LeeOnSolent,0,0,0,0,0,0,0,1,0,0,1890,456030.94,100515.77
150,Cowes,0,0,0,0,0,0,0,1,0,0,1901,449643.55,96674.12
151,Ryde,0,0,0,0,0,0,0,1,6,0,1852,459260.15,93690.91
152,StokesBay,0,0,0,0,0,0,0,1,0,0,1865,459930.14,98032.54
153,SpitSand,0,0,0,0,0,0,0,1,5,0,1866,463527.59,97223.31
154,SouthSea,0,0,0,0,0,1,9,2,5,0,1822,464268.91,98098.60
155,HorseSandNorthDolphin,0,0,0,0,0,0,0,1,2,0,1908,465438.19,94962.91
156,HorseSandSouthDolphin,0,0,0,0,0,0,0,1,2,0,1908,448128.43,102780.49
157,NomansLand,0,0,0,0,0,0,0,1,8,0,1866,463824.74,93786.86
158,SeaViewPier,0,0,0,0,0,0,0,1,0,0,1901,462821.11,91805.07
159,StHelens,0,0,0,0,0,0,0,1,2,0,1866,463055.30,88717.14
160,BradingEmbankment,0,0,0,0,0,0,0,2,0,0,1894,464110.64,89267.19
161,ClarenceEsplanadePier,0,0,0,0,0,0,0,1,0,0,1865,463290.69,98776.73
162,PortsmouthVictoriaPier,0,0,0,0,0,0,0,2,0,0,1865,462774.32,99378.21
163,OuterTownCamber,0,0,0,0,0,0,0,1,0,0,0,459063.36,105231.35
164,PortsmouthHarbourRailwayLanding,0,0,0,0,0,0,0,1,0,0,0,462787.14,100116.53
165,SouthRailwayJetty,0,0,0,0,0,0,0,1,0,0,1878,462814.47,99872.33
166,KingsStairs,0,0,0,0,0,0,0,1,0,0,1865,462606.04,100817.72
167,ClarenceVictuallingYard,0,0,0,0,0,0,0,1,0,0,1865,463392.10,98913.18
168,Gosport,0,0,0,0,0,0,0,1,0,0,1865,462293.64,100047.22
169,Warner_LV,0,0,0,0,0,0,0,1,10,0,1854,465623.93,92746.95
170,Nab_LV,0,0,0,2,8,1,0,1,11,0,1812,613810.26,92748.14
171,StCatherines,1,0,0,0,0,1,18,2,18,0,1840,449716.41,75398.15
172,Shanklin,0,0,0,0,0,0,0,1,0,0,1892,458787.82,81891.26
173,Ventnor,0,0,0,0,0,0,0,1,0,0,1887,456327.56,77300.13
174,Owers_LV,0,0,0,1,9,1,10,1,11,26,1788,589045.13,71448.77
175,SelseaBill,0,0,0,0,0,0,0,1,6,0,1909,485673.80,92291.49
176,Bognor,0,0,0,0,0,0,0,1,5,0,1891,493357.71,98754.44
177,LittlehamptonEastPier,0,0,0,0,0,1,7,2,7,0,1848,502729.36,101351.89
178,LittlehamptonWestPier,0,0,0,0,0,0,0,1,0,0,0,502812.08,100907.40
179,Worthing,0,0,0,0,0,0,0,1,0,0,1862,514915.91,102165.05
180,ShorehamEastWestPiers,0,0,0,0,0,0,0,2,10,0,1877,523437.94,104365.15
181,ShorehamMiddlePier,0,0,0,2,8,2,10,1,0,23,1825,523368.40,104801.79
182,BrightonMarinePalacePier,0,0,0,1,9,1,10,1,0,42,1824,531222.47,103420.01
183,BrightonWestPier,0,0,0,0,0,0,0,1,5,0,0,530173.07,103861.46
184,Rottingdean,0,0,0,0,0,0,0,1,0,0,1894,537131.54,102003.42
185,NewhavenEastPier,0,0,0,0,0,0,0,1,0,0,1862,545187.82,99937.71
186,NewhavenWestPier,0,0,0,2,8,2,8,1,0,23,1799,545104.62,99447.62
187,NewhavenBreakwater,0,0,0,0,0,0,0,1,12,0,1892,545119.49,99445.48
188,BeachyHead,0,0,0,1,23,1,22,1,16,285,1828,558159.14,95139.45
189,RoyalSovereign_LV,0,0,0,0,0,0,0,1,11,0,1875,572289.33,99190.16
190,Eastbourn,0,0,0,0,0,1,0,1,2,0,0,561873.36,98806.45
191,StLeonards,0,0,0,0,0,0,0,1,0,0,1891,579463.82,108753.44
192,HastingsWestHill,0,0,0,2,9,2,0,2,4,0,1827,582007.16,109572.06
193,HastingsWestBreakwater,0,0,0,0,0,0,0,1,0,0,1895,582511.99,109195.74
194,HastingsEastBreakwater,0,0,0,0,0,0,0,1,0,0,1895,582817.10,109301.08
195,HastingsPierHead,0,0,0,0,0,0,0,1,2,0,0,581100.87,108935.78
196,RyeEastPier,0,0,0,2,9,2,4,2,3,36,1787,595163.96,117851.38
197,RyeGroyne,0,0,0,0,0,0,0,1,0,0,1864,594763.81,118380.14
198,Varne_LV,0,0,0,0,0,0,0,1,11,0,1860,629237.13,129203.26
199,FolkestonePier,0,0,0,1,6,1,6,2,12,25,1810,623779.58,135654.42
200,FolkestoneHarbour,0,0,0,0,0,0,0,2,6,0,1848,623392.54,135958.25
201,FolkestoneVictoriaPier,0,0,0,0,0,0,0,1,0,0,1889,622003.06,135166.41
202,DoverAdmiraltyPier,0,0,0,0,0,1,2,1,14,0,1849,632905.25,140001.48
203,DoverSouthPierHead,0,0,0,2,12,2,12,1,0,0,1822,632066.83,140339.29
204,DoverNorthPier,0,0,0,0,0,1,0,1,3,0,1842,632227.17,140522.51
205,DoverGranvilleDock,0,0,0,0,0,0,0,1,0,0,1874,631755.47,140901.33
206,DoverPrinceWalesPier,0,0,0,0,0,0,0,1,12,0,1902,632550.10,140290.83
207,DoverDetachedMole,0,0,0,0,0,0,0,2,14,0,1909,633049.58,140200.37
208,DoverProminadePier,0,0,0,0,0,0,0,1,0,0,1893,632591.07,141211.27
209,DoverCastleJetty,0,0,0,0,0,0,0,1,0,0,0,632718.33,141555.85
210,Deal,0,0,0,0,0,0,0,1,0,0,0,637996.46,152759.37
211,SouthGoodwin_LV,0,0,0,0,0,1,10,1,11,0,1832,641510.80,144376.91
212,EastGoodwin_LV,0,0,0,0,0,0,0,1,11,0,1874,648827.08,151921.35
213,Gull_LV,0,0,0,2,7,2,7,1,10,14,1809,640597.03,158352.36
214,NorthGoodwin_LV,0,0,0,3,9,3,10,1,11,35,1793,650440.25,166322.52
215,Ramsgate,0,0,0,1,6,0,0,0,0,52,1789,638344.23,164351.66
216,RamsgateWestPierHead,0,0,0,0,0,1,6,1,7,0,0,638345.62,164353.17
217,RamsgateEastPierHead,0,0,0,0,0,0,0,1,5,0,1867,638415.15,164316.98
218,RamsgateProminadePier,0,0,0,0,0,0,0,1,0,0,1881,639102.58,165421.80
219,MargateStonePier,0,0,0,0,0,0,0,1,0,0,1829,635029.56,171266.77
220,MargatePromenadePier,0,0,0,1,13,1,10,1,0,85,1829,635000.76,171226.34
221,HerneBay,0,0,0,0,0,0,0,1,0,0,0,617188.23,168553.70
222,Whitstable,0,0,0,0,0,0,0,2,8,0,0,610572.52,167212.85
223,Tongue_LV,0,0,0,0,0,2,10,1,11,0,1848,630251.98,181313.02
224,PrincesChannel_LV,0,0,0,0,0,1,0,1,10,0,1856,628553.35,181722.01
225,Girdler_LV,0,0,0,0,0,1,10,1,10,0,1848,616370.61,180702.62
226,EdinburghChannel_LV,0,0,0,0,0,0,0,1,10,0,1889,626777.80,184526.04
227,Sheerness,0,0,0,0,0,0,0,2,8,0,1859,590837.12,175852.30
228,PortVictoria,0,0,0,0,0,0,0,1,0,0,0,589211.44,175579.26
229,QueensboroughSpit,0,0,0,0,0,0,0,1,0,0,0,590266.88,172318.48
230,Queensborough,0,0,0,0,0,0,0,1,5,0,1904,590336.80,172198.81
231,ChathamClockTower,0,0,0,0,0,0,0,1,3,0,1909,575825.26,169254.43
232,ChathamBullsNose,0,0,0,0,0,0,0,1,0,0,1909,575363.53,168163.66
233,ChathamSunPier,0,0,0,0,0,0,0,1,0,0,1904,575355.93,168175.98
234,Shoeburyness,0,0,0,0,0,0,0,1,0,0,1894,594125.67,184911.15
235,Southend,0,0,0,0,0,1,0,2,0,0,1840,588830.76,183133.80
236,SeaReach,0,0,0,0,0,1,0,1,11,0,1849,584208.61,185614.42
237,Mucking,0,0,0,0,0,1,0,1,11,0,1849,572713.34,181181.21
238,LowerHopePoint,0,0,0,0,0,0,0,1,0,0,0,571374.31,178872.41
239,ShorneMead,0,0,0,0,0,0,0,1,0,0,1901,570530.51,176700.06
240,TilburyNess,0,0,0,0,0,0,0,1,0,0,1892,562590.49,175296.96
241,Northfleet,0,0,0,0,0,0,0,1,6,0,1859,562412.03,174768.61
242,Broadness,0,0,0,0,0,0,0,1,0,0,1885,560462.65,176777.92
243,Stoneness,0,0,0,0,0,0,0,1,0,0,1885,558454.75,176128.11
244,Coldharbour,0,0,0,0,0,0,0,1,0,0,1895,551920.55,178870.30
245,Jenningtree,0,0,0,0,0,0,0,1,0,0,1901,550222.36,180642.28
246,Dagenham,0,0,0,0,0,0,0,1,0,0,0,549129.85,181659.03
247,Crossness,0,0,0,0,0,0,0,1,0,0,1895,547434.26,181511.90
248,LeatherBottle,0,0,0,0,0,0,0,1,0,0,0,549341.59,180833.97
249,Margaret,0,0,0,0,0,0,0,1,0,0,1902,545159.01,181030.71
250,Mouse_LV,0,0,0,0,0,1,10,1,11,0,1838,603969.34,183984.46
251,Barrow_LV,0,0,0,0,0,0,0,1,11,0,1908,617828.38,188212.30
252,Maplin_LV,0,0,0,0,0,1,10,2,11,0,1838,611396.53,189999.74
253,SwinMiddel_LV,0,0,0,0,0,1,10,1,10,0,1837,611845.48,198332.20
254,Tollesbury,0,0,0,0,0,0,0,1,0,0,1907,597159.56,208974.29
255,Gunfleet,0,0,0,0,0,0,0,1,11,0,1850,631573.22,214331.57
256,Gunfleet_LV,0,0,0,0,0,2,10,0,0,0,1850,631573.39,214327.86
257,Sunk_LV,0,0,0,1,10,1,10,1,11,30,1802,639078.67,215143.63
258,Longsand_LV,0,0,0,0,0,0,0,1,11,0,1883,647511.34,216509.43
259,KentishKnock_LV,0,0,0,0,0,2,10,1,11,0,1840,645609.13,191452.93
260,Galloper_LV,0,0,0,2,10,2,10,1,0,32,1803,652367.77,202793.03
261,ClactonOnSea,0,0,0,0,0,0,0,1,0,0,1878,617750.78,214277.79
262,WaltonOnNaze,0,0,0,0,0,0,0,1,1,0,1897,625506.93,221895.48
263,HarwichDovercourt,0,0,0,0,0,0,0,2,11,0,1863,625147.80,230868.38
264,HarwichLandguard,0,0,0,0,0,1,0,5,10,0,1848,628244.17,231966.79
265,Harwich,0,0,0,2,12,2,12,1,0,68,1818,625992.86,232484.63
266,Parkeston,0,0,0,0,0,0,0,1,0,0,1882,624055.48,232743.73
267,FelixstoweProminadePier,0,0,0,0,0,0,0,1,0,0,1905,629899.67,234167.36
268,WoodbridgeHaven,0,0,0,0,0,0,0,1,0,0,0,627204.73,248517.17
269,Cork_LV,0,0,0,0,0,1,10,1,10,0,1844,630313.13,231373.61
270,Shipwash_LV,0,0,0,0,0,1,10,1,11,0,1837,646605.15,246725.43
271,OuterGabbard_LV,0,0,0,0,0,0,0,1,11,0,1888,670614.29,237128.66
272,Pakefield,0,0,0,0,0,1,9,0,0,0,1832,653609.19,289668.90
273,Southwold,0,0,0,0,0,0,0,4,17,0,1881,650814.03,276330.56
274,LowestoftHarbour,0,0,0,0,0,0,0,4,0,0,1847,655065.31,292629.60
275,Stanford_LV,0,0,0,2,9,2,9,0,0,30,1802,656506.18,293651.05
276,Corton_LV,0,0,0,0,0,0,0,1,11,0,1862,659734.35,298340.69
277,StNicholas_LV,0,0,0,0,0,1,10,1,11,0,1837,658253.92,295999.36
278,CrossSand_LV,0,0,0,0,0,0,0,1,11,0,1886,664393.39,312234.12
279,GreatYarmouthGorleston,0,0,0,0,0,0,0,5,6,0,1852,652868.32,303739.78
280,GreatYarmouthWellington,0,0,0,0,0,0,0,1,0,0,1905,653158.76,306760.81
281,GreatYarmouthJetty,0,0,0,0,0,0,0,1,0,0,0,653086.24,307393.05
282,GreatYarmouthBritannia,0,0,0,0,0,0,0,1,9,0,1873,653248.84,307767.87
283,Cockle_LV,0,0,0,0,0,1,10,1,10,0,1843,652065.76,317782.67
284,Newarp_LV,0,0,0,3,9,3,10,1,11,37,1791,662035.97,324042.13
285,SmithsKnoll_LV,0,0,0,0,0,0,0,1,11,0,1886,678665.04,315997.38
286,Would_LV,0,0,0,0,0,0,0,1,11,0,1880,665366.18,332972.61
287,Haisborough,0,0,0,2,17,2,18,1,17,37,1790,638288.49,330667.94
288,Haisborough_LV,0,0,0,1,0,2,10,1,11,0,1831,641618.61,348308.11
289,LemanOwer_LV,0,0,0,0,0,2,10,1,11,0,1840,664724.80,361597.08
290,Sheringham,0,0,0,0,0,0,0,1,3,0,1900,615977.17,343514.34
291,LynnWell_LV,0,0,0,2,10,2,10,1,11,32,1828,562050.42,350597.20
292,RoaringMiddle_LV,0,0,0,0,0,0,0,1,11,0,1908,557855.73,341557.13
293,SuttonBridge,0,0,0,0,0,0,0,1,0,0,0,549170.25,325752.94
294,Wisbech,0,0,0,0,0,0,0,1,0,0,0,545542.93,310914.90
295,Clayhole_LV,0,0,0,0,0,0,0,1,0,0,1891,542446.23,341731.64
296,Boston,0,0,0,0,0,0,0,3,0,0,1868,539363.76,339106.13
297,Skegness,0,0,0,0,0,0,0,1,0,0,1881,557117.50,363439.21
298,InnerDowsing_LV,0,0,0,0,0,0,0,1,11,0,1873,578258.18,384565.67
299,OuterDowsing_LV,0,0,0,0,0,0,0,1,11,0,1861,599031.13,410841.09
300,Spurn_LV,0,0,0,1,9,1,10,1,11,90,1820,543318.55,409210.59
301,BullSand_LV,0,0,0,0,0,1,10,1,11,0,1832,538783.97,409383.38
302,Grimsby,0,0,0,0,0,0,0,1,0,0,1909,527801.89,411745.12
303,Middle_LV,0,0,0,0,0,0,0,1,7,0,1868,530972.14,413421.25
304,Stallingborough,0,0,0,0,0,1,0,1,0,0,1849,520703.68,415709.37
305,NewshamBooth,0,0,0,0,0,0,0,1,0,0,1880,505238.35,426215.15
306,Killingholme,0,0,0,0,0,2,11,3,12,0,1836,517720.46,418242.86
307,ThorngumbaldClough,0,0,0,0,0,0,0,2,0,0,0,519188.43,423256.58
308,SaltEnd,0,0,0,0,0,0,0,2,0,0,0,515636.75,427111.43
309,PaullCliffs,0,0,0,0,0,1,7,0,0,0,1836,517091.12,425000.87
310,Hebbles_LV,0,0,0,0,0,1,5,0,0,0,1870,515930.74,427486.75
311,Withernsea,0,0,0,0,0,0,0,1,17,0,1894,533817.38,427986.91
312,Bridlington,0,0,0,0,0,0,0,2,5,0,1852,518566.13,466571.60
313,Filey,0,0,0,0,0,0,0,1,1,0,1859,512902.15,481531.43
314,Scarborough,0,0,0,1,11,1,13,2,13,41,1806,504812.68,488574.58
315,WhitbyWestPier,0,0,0,0,0,1,13,2,10,0,1831,489803.92,511881.05
316,WhitbyEastPier,0,0,0,0,0,0,0,1,8,0,1855,489875.88,511882.47
317,Whitby,0,0,0,0,0,0,0,2,22,0,1858,492763.22,510116.65
318,Staithes,0,0,0,0,0,0,0,1,5,0,0,478329.59,519080.36
319,BranSands,0,0,0,0,0,1,0,0,0,0,0,456302.98,526953.62
320,CareSand_LV,0,0,0,0,0,1,0,0,0,0,0,454431.20,529986.37
321,SeatonCarew,0,0,0,0,0,2,0,0,0,0,0,452497.88,529865.63
322,SouthGareBreakwater,0,0,0,0,0,0,0,1,10,0,1839,455649.43,528398.02
323,TeesRiverFourthBuoy,0,0,0,0,0,0,0,1,0,0,1836,455023.65,529033.44
324,FifthBuoy,0,0,0,0,0,0,0,1,7,0,1839,454972.69,528277.38
325,SealSand,0,0,0,0,0,0,0,1,7,0,0,454010.69,525381.69
326,SeventhBuoy,0,0,0,0,0,0,0,1,0,0,1908,454747.88,527442.21
327,NinthBuoy,0,0,0,0,0,0,0,2,0,0,0,454386.38,526683.20
328,Eston,0,0,0,0,0,0,0,1,0,0,0,453013.47,522072.35
329,JackInTheBox,0,0,0,0,0,0,0,1,0,0,0,631486.77,234923.95
330,CargoFleet,0,0,0,0,0,0,0,1,0,0,0,451595.73,520800.53
331,Hartlepool_WestHarbour,0,0,0,0,0,2,0,1,0,0,0,451853.69,532976.22
332,Hartlepool_OldHarbour,0,0,0,0,0,1,7,0,0,0,1836,451909.27,532997.66
333,Hartlepool_DockEntrance,0,0,0,0,0,0,0,1,0,0,0,451702.09,533138.50
334,Hartlepool_CommissionersHarbour,0,0,0,0,0,0,0,1,7,0,1836,451612.74,533195.90
335,Heugh,0,0,0,0,0,2,15,2,15,0,1847,453089.67,533818.55
336,SeahamnNewSouthPier,0,0,0,0,0,1,0,1,5,0,1906,443562.26,549323.43
337,SeahamNorthPier,0,0,0,0,0,2,14,1,11,0,1843,443614.11,549421.30
338,SunderlandNEPier,0,0,0,2,20,2,13,1,0,73,1780,441498.25,558714.48
339,SunderlandOuterSouthPier,0,0,0,1,20,1,0,1,0,32,1794,441472.05,558456.41
340,RokerPier,0,0,0,0,0,0,0,1,15,0,1903,441496.25,558722.57
341,SunderlandInnerSouthPier,0,0,0,0,0,0,0,1,10,0,0,440916.78,558233.44
342,SunderlandInnerNorthPier,0,0,0,0,0,0,0,2,5,0,1802,441005.90,558427.31
343,SouterPoint,0,0,0,0,0,0,0,2,15,0,1871,440700.93,564176.41
344,TynemouthNorthPier,0,0,0,0,0,0,0,1,0,0,1864,438185.77,569047.89
345,HerdSand,0,0,0,0,0,0,0,1,7,0,1882,436824.31,568294.64
346,Cullercoats,0,0,0,0,0,0,0,2,0,0,1896,436451.25,571618.62
347,StMarys,1,0,0,0,0,0,0,1,17,0,1898,435150.81,575386.70
348,Blyth,0,0,0,1,10,2,11,2,15,52,1788,431916.51,581362.60
349,BlythEastPier,0,0,0,0,0,0,0,3,7,0,1884,432565.63,580347.50
350,BlythWestPier,0,0,0,0,0,0,0,2,0,0,1888,432738.17,580354.11
351,BlythSnook,0,0,0,0,0,0,0,2,0,0,0,432532.87,580213.29
352,Coquet,0,0,0,0,0,1,14,2,14,0,1841,429195.35,604526.61
353,WarkworthSouthPier,0,0,0,0,0,1,1,1,5,0,1848,427144.27,605047.35
354,WarkworthNorthPier,0,0,0,0,0,1,0,1,0,0,1891,427170.52,605161.91
355,Craster,0,0,0,0,0,0,0,2,5,0,1906,425792.48,620003.65
356,NorthSunderlandNWPier,0,0,0,0,0,0,0,2,5,0,1877,422128.63,632294.80
357,NorthSunderlandOldPier,0,0,0,0,0,0,0,1,4,0,1889,422008.10,632172.56
358,Bamburgh,0,0,0,0,0,0,0,1,12,0,1910,417371.30,635931.56
359,Longstone,0,0,0,1,13,1,13,1,14,74,1826,424492.52,638980.50
360,Berwick,0,0,0,2,12,2,11,2,12,55,1826,400993.38,652373.04
361,Solway_LV,0,0,0,0,0,1,6,1,16,0,1841,292724.38,540622.09
362,Skinburness,0,0,0,0,0,1,9,1,9,0,1841,312257.89,556058.51
363,LeeScar,0,0,0,0,0,1,6,1,10,0,1841,310285.32,553633.74
364,Silloth,0,0,0,0,0,0,0,1,0,0,1858,310404.83,553652.73
365,MaryportSouthWoodenPier,0,0,0,2,8,1,10,1,6,0,1796,303149.79,536717.85
366,CarlislePort,0,0,0,0,0,1,0,0,0,0,1841,324170.22,562418.45
367,MaryportNorhtPier,0,0,0,0,0,0,0,1,0,0,1884,302905.32,536888.94
368,MaryportSouhtPier,0,0,0,0,0,0,0,1,12,0,1834,302705.74,536917.38
369,MaryportSouthSide,0,0,0,0,0,0,0,1,3,0,1857,302782.62,536402.62
370,NorthTonguePier,0,0,0,0,0,0,0,1,3,0,1857,302893.71,536891.19
371,Workington,0,0,0,2,10,2,11,2,0,23,1825,298217.48,529678.41
372,HarringtonSouthPier,0,0,0,1,10,1,11,1,0,44,1797,298532.82,525310.32
