FID,Name,LH_MED,LH_1693,LH_1753,LH_1831,REACH_1831,LH_1851,REACH_1851,LH_1911,REACH_1911,Height,YearBuilt,POINT_X,POINT_Y
443,Runcorn,0,0,0,0,0,0,0,1,0,0,0,352221.44,383357.10
444,HaleHead,0,0,0,0,0,0,0,1,0,0,1907,347106.74,380943.64
445,WithinsWay,0,0,0,0,0,0,0,1,0,0,1907,331702.79,392839.16
446,Speke,0,0,0,0,0,0,0,1,0,0,1876,343100.70,381564.81
447,DungeonPoint,0,0,0,0,0,0,0,1,0,0,1876,344242.17,381511.80
448,DittonBrook,0,0,0,0,0,0,0,1,0,0,1876,349508.59,383937.37
449,PovertyNook,0,0,0,0,0,0,0,1,0,0,1910,332637.43,396525.66
450,Eastham,0,0,0,0,0,0,0,1,0,0,0,336661.82,381351.70
451,Rhyl,0,0,0,0,0,0,0,1,0,0,0,299605.01,381035.93
452,ColwynBay,0,0,0,0,0,0,0,2,0,0,1895,285249.91,379364.88
453,Llandudno,0,0,0,0,0,0,0,1,0,0,1877,278488.03,383216.08
454,GreatOrmesHead,0,0,0,0,0,0,0,1,24,0,1862,275586.41,384487.02
455,Conway,0,0,0,0,0,0,0,1,0,0,1904,278120.63,377795.20
456,Menai,0,0,0,0,0,1,10,1,13,0,1837,255446.40,371808.53
457,Beaumaris,0,0,0,0,0,0,0,1,0,0,1865,260599.24,375861.00
458,MountField,0,0,0,0,0,0,0,1,0,0,1896,260186.23,372552.02
459,Penrhyn,0,0,0,0,0,0,0,1,0,0,0,259096.39,373139.08
460,GarthPoint,0,0,0,0,0,0,0,1,3,0,1896,255782.40,372061.84
461,MenaiBridge,0,0,0,0,0,0,0,1,0,0,1902,255581.60,371514.57
462,Lynus,0,0,0,2,12,1,16,1,16,80,1779,247872.14,393515.88
463,AmlwchPort,0,0,0,1,8,1,9,1,9,26,1817,245523.23,393722.07
464,HolyheadBreakwater,0,0,0,1,10,1,0,1,0,44,1820,225616.16,384780.96
465,HolyheadOldHarbour,0,0,0,0,0,0,0,1,0,0,1864,225468.77,382959.38
466,HolyheadOldPier,0,0,0,0,0,1,11,1,0,0,1820,225410.24,382745.50
467,InnerEndMailJetty,0,0,0,0,0,0,0,1,0,0,1898,225394.64,383292.15
468,HolyheadInnerHarbour,0,0,0,0,0,0,0,1,0,0,1866,225160.20,382775.62
469,HolyheadNewHarbour,0,0,0,0,0,0,0,1,0,0,1903,223983.24,383560.11
470,NorthStack,0,0,0,0,0,0,0,1,0,0,1909,221422.28,383996.03
471,SouthStack,0,0,0,1,19,1,19,1,20,201,1809,220149.80,382291.54
472,CarnarvonBay_LV,0,0,0,0,0,0,0,1,11,0,1879,219951.08,357930.31
473,LlanddwynIsland,0,0,0,0,0,1,5,1,5,0,1845,238434.00,362535.77
474,Carnarven,0,0,0,0,0,0,0,3,0,0,1858,247886.94,363386.63
475,PortTrevor,0,0,0,0,0,0,0,1,2,0,1878,237507.57,347475.93
476,Bardsey,0,0,0,1,17,1,17,1,17,141,1821,211055.81,320627.64
477,StTudwall,0,0,0,0,0,0,0,1,18,0,1877,233419.47,325227.09
478,Pwllheli,0,0,0,0,0,0,0,1,0,0,1907,238811.87,334779.44
479,Barmouth,0,0,0,0,0,0,0,1,0,0,1847,261408.25,315220.95
480,Aberdovey,0,0,0,0,0,0,0,1,0,0,0,260904.23,295847.79
481,AberystwithHarbour,0,0,0,2,0,2,0,1,0,0,1864,257750.58,281656.00
482,NewQuay,0,0,0,0,0,0,0,1,0,0,0,180958.33,62640.95
483,FishguardBay,0,0,0,0,0,0,0,1,12,0,1906,196190.86,239116.58
484,StrumbleHead,0,0,0,0,0,0,0,1,18,0,1908,189172.28,241320.13
485,SouthBishop,0,0,0,0,0,1,17,1,18,0,1839,165055.69,222670.92
486,Smalls,0,0,0,1,15,1,13,2,17,70,1778,146567.82,208928.01
487,StAnns,1,0,0,0,0,2,19,1,18,0,1714,180500.54,203008.07
488,GreatCastleHead,0,0,0,0,0,0,0,2,16,0,1870,184638.56,206043.07
489,Milford,0,0,0,0,0,0,0,2,1,0,0,190149.21,205624.97
490,CastlePill,0,0,0,0,0,0,0,1,1,0,0,191279.01,205426.92
491,NewtonNoyes,0,0,0,0,0,0,0,1,1,0,0,191758.91,204957.16
492,MilfordHazelBeach,0,0,0,0,0,0,0,2,3,0,1883,194681.64,204786.67
493,MilfordChurchLake,0,0,0,0,0,0,0,2,3,0,1883,195994.55,205259.84
494,MilfordNeylandPoint_LV,0,0,0,0,0,0,0,1,2,0,1868,181321.84,197063.32
495,MilfordHmDockyard,0,0,0,0,0,0,0,1,3,0,1862,195935.61,203720.28
496,St_Goven_LV,0,0,0,0,0,0,0,1,11,0,1907,197091.34,190590.75
497,CaldyIsland,0,0,0,1,20,1,19,1,20,210,1829,214246.12,195987.47
498,Tenby,0,0,0,0,0,0,0,3,3,0,1856,213699.23,200578.16
499,Saundersfoot,0,0,0,0,0,1,0,1,1,0,0,213793.04,204712.19
500,WhitefordPoint,0,0,0,0,0,0,0,1,9,0,1865,244517.16,197150.28
501,Llanelly,0,0,0,0,0,1,0,1,7,0,1850,249958.77,198623.13
502,PembreyHarbour,0,0,0,1,3,1,9,0,0,27,1819,242083.24,198962.83
503,BurryPort,0,0,0,0,0,0,0,2,9,0,0,244380.02,200021.13
504,Helwick_LV,0,0,0,0,0,1,10,1,11,0,1846,243253.79,178122.11
505,Mumbles,0,0,0,1,15,1,15,1,15,56,1798,263398.49,187224.77
